0.00893469 -96036.7 811.111
0.0217775 -95645.7 424.096
0.0346204 -94744.3 254.262
0.0474632 -93312.6 228.4
0.060306 -91029 196.192
0.0731488 -87233.7 168.62
0.0859917 -80259.7 168.435
0.0988345 -67200.3 189.079
0.111677 -45339.8 231.689
0.12452 -16302.8 298.132
0.137363 11930.4 368.002
0.150206 29778.4 341.357
0.163049 33865.2 322.849
0.175891 27206 296.927
0.188734 15725.2 303.191
0.201577 4069.07 253.953
0.21442 -5090.47 219.809
0.227263 -10721 189.091
0.240106 -12634.8 194.748
0.252948 -11306.4 186.021
0.265791 -7716.49 180.492
0.278634 -3112.39 166.65
0.291477 1227.85 180.762
0.30432 4301.73 141.224
0.317163 5676.88 155.226
0.330005 5393.77 165.098
0.342848 3923.95 140.805
0.355691 1945.67 139.655
0.368534 -47.0989 144.056
0.381377 -1532.68 126.027
0.39422 -2354.26 110.404
0.407062 -2465.29 107.384
0.419905 -2020.3 110.759
0.432748 -1295.66 108.028
0.445591 -458.713 102.308
0.458434 279.999 111.309
0.471277 745.391 108.144
0.484119 962.387 98.7175
0.496962 910.464 106.439
0.509805 691.972 93.1625
0.522648 333.959 94.0539
0.535491 -1.18421 87.3051
0.548334 -279.622 95.21
0.561176 -475.525 73.0203
0.574019 -602.897 84.2023
0.586862 -610.365 90.4524
0.599705 -573.035 84.5324
0.612548 -472.912 82.354
0.625391 -409.003 85.0598
0.638233 -316.357 79.4426
0.651076 -314.808 82.1909
0.663919 -315.691 75.6843
0.676762 -349.884 78.4464
0.689605 -429.15 78.3662
0.702448 -552.144 73.3976
0.71529 -689.352 75.5447
0.728133 -853.104 82.7212
0.740976 -990.151 73.0512
0.753819 -1149.6 78.4258
0.766662 -1288.93 71.3332
0.779505 -1440.99 88.0691
0.792347 -1602.82 79.4659
0.80519 -1750.25 67.9706
0.818033 -1906.45 86.0965
0.830876 -2096.61 93.1526
0.843719 -2284.81 83.7806
0.856562 -2529.88 76.9634
0.869404 -2749.48 80.7943
0.882247 -3052.55 78.354
0.89509 -3370.86 90.514
0.907933 -3728.49 92.6164
0.920776 -4117.29 89.734
0.933619 -4534.27 98.4386
0.946461 -4986.92 88.8542
0.959304 -5452.1 95.7975
0.972147 -5955.93 103.066
0.98499 -6502.61 90.9295
0.997833 -7061.06 93.2874
1.01068 -7661.59 90.817
1.02352 -8300.68 105.651
1.03636 -8985.71 110.888
1.0492 -9722.65 109.914
1.06205 -10493 104.512
1.07489 -11321.7 109.171
1.08773 -12188.6 109.948
1.10058 -13115.7 120.195
1.11342 -14096.4 109.483
1.12626 -15117.8 118.768
1.1391 -16189.5 115.651
1.15195 -17288 113.632
1.16479 -18452.6 116.792
1.17763 -19637.8 113.957
1.19048 -20870.4 126.881
1.20332 -22142.6 120.056
1.21616 -23450.6 125.553
1.229 -24787.2 126.636
1.24185 -26166.4 123.286
1.25469 -27570.4 125.771
1.26753 -29003.3 128.527
1.28037 -30457.6 123.379
